MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
2375471,"Horn, M.",Des. Codes Cryptogr.,2008,article,51E24 (20E42 20G40),"Gamble G., Havas G., Hulpke A., Ramsay C.: ACE: a GAP 4 interface to the Advanced Coset Enumerator of G. Havas and C. Ramsay. http://www.math.rwth-aachen.de/simGreg.Gamble/ACE/, (2000), Accessed 31 October 2007.",Package,Yes,211,3
3510826,"Horn, M. and Nessler, R. and Van Maldeghem, H.",Forum Math.,2016,article,51E24 (51A50),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.6.3; 2013, (http://www.gap-system.org).",4.6.3,Yes,107,3
3510826,"Horn, M. and Nessler, R. and Van Maldeghem, H.",Forum Math.,2016,article,51E24 (51A50),"W. Gamble, A. Hukpke, G. Havas and C. Ramsay, ACE – Advanced coset enumerator, A refereed GAP 4 package, see [7].",Package,No,113,2
3510826,"Horn, M. and Nessler, R. and Van Maldeghem, H.",Forum Math.,2016,article,51E24 (51A50),"D. Holt, kbmag – Knuth–Bendix on Monoids and Automatic Groups, A refereed GAP 4 package, see [7].",Package,No,97,2
3510826,"Horn, M. and Nessler, R. and Van Maldeghem, H.",Forum Math.,2016,article,51E24 (51A50),"W. Nickel, NQ – Computing nilpotent factor groups of finitely presented groups, A refereed GAP 4 package, see [7].",Package,No,114,2
2981128,"Horváth, G. and Mayr, P. and Pongrácz, A.",Comm. Algebra,2012,article,20D30 (06B05),"The GAP Group (2008). GAP—Groups, Algorithms, and Programming, Version 4.4.12. http://www.gap-system.org.",4.4.12,Yes,105,3
3341822,"Horváth, G.",J. Algebra,2015,article,20F10 (13M10 20F70 68Q17),"E. Aichinger, F. Binder, J. Ecker, P. Mayr, C. Nöbauer, SONATA – system of near-rings and their applications, GAP package, version 2.6, http://www.algebra.uni-linz.ac.at/Sonata/, 2012.",Package,Yes,184,3
3341822,"Horváth, G.",J. Algebra,2015,article,20F10 (13M10 20F70 68Q17),"The GAP Group, GAP – groups, algorithms, and programming, version 4.7.7, http://www.gapsystem.org, 2015.",4.7.7,Yes,104,3
2679456,"Hoshi, A. and Miyake, K.",Int. J. Number Theory,2010,article,12F10 (11R16 12F12),"The GAP Group, GAP—Groups, algorithms, and programming, Version 4.4.10 (2007): http://www.gap-system.org.",4.4.10,Yes,105,3
2824511,"Hoshi, A. and Kitayama, H. and Yamasaki, A.",J. Algebra,2011,article,12F20 (14E08),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10, http://www.gap-system.org, 2007.",4.4.10,Yes,104,3
2987109,"Hoshi, A.",Funct. Approx. Comment. Math.,2012,article,11D41 (11D59 11R20 11Y40 12F10),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10; 2007 (http://www.gap-system.org).",4.4.10,Yes,105,3
3152260,"Hoshi, A. and Kang, M. and Kunyavskii, B. E.",Asian J. Math.,2013,article,13A50 (14E08 14F22 14M20),"The GAP Groups, GAP-Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)",4.4.12,Yes,106,3
3166080,"Hoshi, A. and Kang, M. and Kitayama, H.",J. Algebra,2014,article,12F20 (14E08),"G.A.P. The, Groups, GAP-Groups, Algorithms, and Programming, Version 4.4.10; http://www.gap-system.org, 2007.",4.4.10,Yes,109,3
3418064,"Hoshi, A.",J. Algebra,2016,article,12F20 (14E08 14F22 16K50),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008.",4.4.12,Yes,106,3
3682479,"Hoshi, A.",J. Théor. Nombres Bordeaux,2017,article,11D25 (11D41 11R16 11R20 12F10),"The GAP Group, ""GAP — Groups, Algorithms, and Programming, Version 4.4.12"", 2008, http://www.gap-system.org.",4.4.12,Yes,108,3
3685951,"Hoshi, A. and Yamasaki, A.",Mem. Amer. Math. Soc.,2017,article,20G15 (11E72 12F20 14E08 20C10),"J. Opgenorth, W. Plesken, T. Schulz, CARAT, GAP 4 package, version 2.1b1, 2008, available at http://wwwb.math.rwth-aachen.de/carat/.",Package,Yes,132,3
3685951,"Hoshi, A. and Yamasaki, A.",Mem. Amer. Math. Soc.,2017,article,20G15 (11E72 12F20 14E08 20C10),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org).",4.4.12,Yes,108,3
3685951,"Hoshi, A. and Yamasaki, A.",Mem. Amer. Math. Soc.,2017,article,20G15 (11E72 12F20 14E08 20C10),"G. Ellis, HAP, GAP 4 package, version 1.10.6, 2012, available at http://hamilton.nuigalway.ie/Hap/www/.",Package,Yes,103,3
4025669,"Hoshi, A. and Kang, M. and Yamasaki, A.",J. Algebra,2020,article,14E08 (14F22 20C10 20J06),"The GAP Group, GAP -groups, algorithms, and programming, version 4.8.7, http://www.gap-system.org, 2017.",4.8.7,Yes,104,3
4025669,"Hoshi, A. and Kang, M. and Yamasaki, A.",J. Algebra,2020,article,14E08 (14F22 20C10 20J06),"G. Ellis, The GAP package HAP, version 1.11.15, available from http://www.gap-system.org/Packages/hap.html.",Package,Yes,107,3
2247657,"Howie, J. and Williams, G.",Geom. Dedicata,2006,article,20F05 (20F38 20F65 57M07),"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.4 (2004). (http://www.gap-system.org)",4.4,Yes,103,3
2975410,"Howie, J. and Williams, G.",J. Algebra,2012,article,20F05 (20F06 20F10 20F67 57M05),"The GAP Group, GAP–Groups, Algorithms, and Programming, version 4.4.9, 2006, http://www.gap-system.org.",4.4.9,Yes,103,3
1823074,"Howlett, R. B. and Rylands, L. J. and Taylor, D. E.",J. Symbolic Comput.,2001,article,20G40 (20-04 20D06),"Schönert et al., M. (1994). GAP—Groups, Algorithms and Programming. Lehrstuhl D für Mathematik, RWTH Aachen.",Unknown,No,108,1
2566544,"Huang, P. and Ke, W. and Pilz, G. F.",Proc. Amer. Math. Soc.,2010,article,05A15 (05A05 11N05 94B05),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org.",4.4.12,Yes,104,3
3339804,"Huang, H. and Li, Y.",J. Algebra Appl.,2015,article,20D60,"The GAP Group, GAP – groups, algorithms, and programming, Version 4.7.4 (2014), http://www.gap-system.org.",4.7.4,Yes,106,3
3724268,"Huang, X. and Huang, Q. and Lu, L.",Algebra Colloq.,2017,article,05C25 (20B25),"The GAP Group, GAP – Groups, Algorithms, and Programming, version 4.8.4, 2016 (http://www.gap-system.org).",4.8.4,Yes,106,3
3177516,"Huczynska, S.",Electron. J. Combin.,2014,article,11B75 (11B13),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)",4.4.12,Yes,105,3
2354047,"Huffman, W. C.",Adv. Math. Commun.,2007,article,94B15,"I. M. Araújo, et. al., GAP Reference Manual, The GAP Group, http://www.gap-system.org.",Unknown,Yes,86,1
2429460,"Huffman, W. C.",Adv. Math. Commun.,2008,article,94B15,"I. M. Araújo, et. al., GAP Reference Manual, The GAP Group, http://www.gap-system.org.",Unknown,Yes,86,1
2429460,"Huffman, W. C.",Adv. Math. Commun.,2008,article,94B15,"J. Cramwinckel, et. al., GUAVA A GAP 4 Package for Computing with Error-Correcting Codes, http://www.gap-system.org/Packages/guava.html.",Package,Yes,136,3
2327052,"Huffman, W. C.",Adv. Math. Commun.,2007,article,94B15 (94B60),"I. M. Araújo, et. al., ""GAP Reference Manual,"" The GAP Group, available at http://www.gap-system.org",Unknown,Yes,100,2
2327052,"Huffman, W. C.",Adv. Math. Commun.,2007,article,94B15 (94B60),"J. Cramwinckel, et. al., ""GUAVA A GAP 4 Package for Computing with Error-Correcting Codes,"" available at http://cadigweb.ew.usna.edu/simwdj/gap/GUAVA/",Package,Yes,150,3
2332495,"Huffman, W. C.",Finite Fields Appl.,2007,article,94B05 (11T71),"I.M. Araújo, et al., GAP Reference Manual, The GAP Group, http://www.gap-system.org.",Unknown,Yes,84,1
2332495,"Huffman, W. C.",Finite Fields Appl.,2007,article,94B05 (11T71),"J. Cramwinckel, et al., GUAVA A GAP 4 Package for Computing with Error-Correcting Codes, http://cadigweb.ew.usna.edu/simwdj/gap/GUAVA/.",Package,Yes,135,3
2516425,"Huffman, W. C.",Finite Fields Appl.,2009,article,94B60 (94B27),"I.M. Araújo, and 50 co-authors, GAP Reference Manual, The GAP Group, http://www.gap-system.org.",Unknown,Yes,95,2
2516425,"Huffman, W. C.",Finite Fields Appl.,2009,article,94B60 (94B27),"J. Cramwinckel, E. Roijackers, R. Baart, E. Minkes, L. Ruscio, C. Tjhai, D. Joyner, GUAVA A GAP4 package for computing with error-correcting codes, http://cadigweb.ew.usna.edu/simwdj/gap/GUAVA/.",Package,Yes,194,3
3034304,"Huffman, W. C.",Adv. Math. Commun.,2013,article,94B15,"I. M. Araújo, et al., GAP reference manual, The GAP Group, http://www.gap-system.org",Unknown,Yes,84,1
3092314,"Huffman, W. C.",Adv. Math. Commun.,2013,article,94B05 (81P70 94B27 94B60),"I. M. Araújo, et al., GAP Reference Manual, The GAP Group, http://www.gap-system.org",Unknown,Yes,84,1
1659847,"Hulpke, A.",Math. Comp.,2000,article,20B40,"The GAP Group, School of Mathematical and Computational Sciences, University of St Andrews, and Lehrstuhl D fur Mathematik, RWTH Aachen, GAP - Groups, Algorithms, and Programming, Version 4, 1998.",Unknown,No,196,1
1917425,"Hulpke, A.",Experiment. Math.,2001,article,20F05 (20C34 20C40 68W30),"T. Breuer and S. Linton, ""The GAP 4 type system: Organising algebraic algorithms"", pp. 38–45 in Proceedings of the 1998 International Symposium on Symbolic and Algebraic Computation (ISSAC '98) (Rostock, Germany, 1998), edited by O. Gloor, ACM Press, New York, 1998.",Unknown,No,266,1
1917425,"Hulpke, A.",Experiment. Math.,2001,article,20F05 (20C34 20C40 68W30),"F. Celler and M. Neunhöffer, ""XGAP: GAP4 share package"", software, 1999. See http://www-gap.dcs.st-and.ac.uk/gap/Share/xgap.html.",Package,Yes,129,3
1917425,"Hulpke, A.",Experiment. Math.,2001,article,20F05 (20C34 20C40 68W30),"The GAP group, GAP: Groups, algorithms, and programming, Version 4.2, RWTH Aachen and University of St. Andrews, 2000. See http://www-gap.dcs.st-and.ac.uk/simgap.",4.2,Yes,162,3
1917425,"Hulpke, A.",Experiment. Math.,2001,article,20F05 (20C34 20C40 68W30),"D. F. Holt, C. R. Leedham-Green, E. A. O'Brien,, and S. Rees, ""Smash: matrix groups and G-modules"", GAP software package, 1995.",Package,No,127,2
2168238,"Hulpke, A.",J. Symbolic Comput.,2005,article,20B10 (20B35),"Eick, B., 1993. PAG-Systeme im Computeralgebrasystem GAP. Diplomarbeit, Lehrstuhl D für Mathematik, Rheinisch-Westfälische Technische Hochschule, Aachen.",Unknown,No,153,1
2168238,"Hulpke, A.",J. Symbolic Comput.,2005,article,20B10 (20B35),"The GAP Group, 2002. GAP—Groups, Algorithms, and Programming, version 4.3, http://www.gap-system.org.",4.3,Yes,101,3
2772119,"Hulpke, A. and Kaski, P. and Östergård, P. R. J.",Math. Comp.,2011,article,05B15 (05A15 05C30),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)",4.4.12,Yes,107,3
2996881,"Hulpke, A.",J. Symbolic Comput.,2013,article,20G35 (11E08 68W30),"GAP, 2012. GAP–Groups, Algorithms, and Programming, version 4.5.3. The GAP Group. http://www.gap-system.org.",4.5.3,Yes,108,3
3056697,"Hulpke, A.",J. Algebra,2013,article,20H20 (20D06 20G15),"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.6.3, http://www.gap-system.org, 2013.",4.6.3,Yes,105,3
3056697,"Hulpke, A.",J. Algebra,2013,article,20H20 (20D06 20G15),"Max Neunhöffer, Ákos Seress, et al., A GAP package recog, http://www.gap-system.org/Packages/recog.html.",Package,Yes,104,3
3399387,"Hulpke, A. and Stanovský, D. and Vojtěchovský, P.",J. Pure Appl. Algebra,2016,article,57M27 (20B10 20N02),"GAP Group, GAP – groups, algorithms, and programming, version 4.6.3, http://www.gap-system.org, 2013.",4.6.3,Yes,101,3
3399387,"Hulpke, A. and Stanovský, D. and Vojtěchovský, P.",J. Pure Appl. Algebra,2016,article,57M27 (20B10 20N02),"G.P. Nagy, P. Vojtěchovský, Loops: computing with quasigroups and loops in GAP, version 2.2.0, available at http://www.math.du.edu/loops.",Package,Yes,137,3
3763898,"Hulpke, A.",Port. Math.,2017,article,20B40 (20D30 68W30),"The GAP Group, http://www.gap-system.org. GAP – Groups, Algorithms, and Programming, Version 4.8.6, 2016.",4.8.6,Yes,105,3
2139260,"Higgs, R. J.",J. Algebra Appl.,2005,article,20C25,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002 (http://www.gap-system.org).",4.3,Yes,102,3
4068978,"Hung, N. N. and Yang, Y.",J. Algebra,2020,article,20C15 (20D10 20D15),"The GAP Group, GAP – groups, algorithms, and programming, version 4.6.3, http://www.gap-system.org, 2013.",4.6.3,Yes,105,3
4081499,"Hung, N. N. and Schaeffer Fry, A. A. and Tong-Viet, H. P. and Vinroot, C. R.",J. Algebra,2020,article,20C15 (20D05 20E45),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.1, https://www.gap-system.org, 2019.",4.10.1,Yes,107,3
1952439,"Hunter, D. J. and von Hippel, P. T.",Amer. Math. Monthly,2003,article,05A05 (00A69 20B22),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St Andrews, 2000, (http://www-gap.dcs.st-and.ac.uk/simgap).",4.2,Yes,136,3
3248801,"Hurley, B. and Hurley, T.",Discrete Math.,2014,article,94B25,"`GAP–Groups, Algorithms and Programming', www.gap-system.org.",Unknown,Yes,61,1
2654520,"Idalʹgo, R. A. and Mednykh, A. D.",Sibirsk. Mat. Zh.,2010,article,57R18 (57M12 57M50 57M60 57S30),"""The GAP group,"" in: GAP-Groups. Algorithms and Programming. Version 4.4; 2006 (www.gap-system.org).",4.4,Yes,100,3
