MR,Author,Journal,Year,Publication Type,Citation,Version,Website,Lentght,Accuracy Score,Lenght
3647965,"Barron, T. and O'Neill, C. and Pelayo, R.",Math. Comp.,2017,article,"M. Delgado, P. García-Sánchez, and J. Morais, GAP Numerical Semigroups Package, http://www.gap-system.org/Manuals/pkg/numericalsgps/doc/manual.pdf.",Package,Yes,147,3,147
3917961,"Barucci, V. and Strazzanti, F.",Semigroup Forum,2019,article,"Delgado, M., García-Sánchez, P.A., Morais, J.: ""NumericalSgps""—a GAP package, Version 1.1.5. http://www.gap-system.org/Packages/numericalsgps.html. Accessed 25 Sept 2017",Package,Yes,169,3,169
2090062,"Baur, K. and Draisma, J.",J. Algebra,2004,article,"A.M. Cohen, D.A.H. Gijsbers, GBNP: a non-commutative Gröbner basis package in GAP, http://www.win.tue.nl/simamc/pub/grobner/doc.html.",Package,Yes,133,3,133
2339279,"Baur, K. and Draisma, J. and de Graaf, W. A.",Experiment. Math.,2007,article,"W. A. de Graaf. ""QuaGroup."" A GAP package, version 1.1 (see [GAP 02]), 2005.",Package,No,76,1,76
3626252,"Becker, P. E. and Derka, M. and Houghten, S. and Ulrich, J.",Amer. Math. Monthly,2017,article,"The GUAVA Group, GUAVA: A GAP4 Package for computing with error-correcting codes, Version 3.12 (2012), http://www.gap-system.org.",Package,Yes,129,3,129
4160306,"Bendel, C. P. and Nakano, D. K. and Pillen, C. and Sobaje, P.",J. Reine Angew. Math.,2020,article,"S. Doty, WeylModules, a GAP package, Version 1.1, 2009, http://doty.math.luc.edu/weylmodules.",Package,Yes,93,3,93
2171086,"Benini, A. and Morini, F.",Discrete Math.,2005,article,"E. Aichinger, F. Binder, J. Ecker, P. Mayr, C. Nöbaner, SONATA—system of near-rings and their applications, Package for the group theory system GAP4, 2002.",Package,No,155,2,155
3147207,"Berman, L. W. and Mixer, M. and Monson, B. and Oliveros, D. and Williams, G.",Discrete Math.,2014,article,"B. Eick, F. Gähler, W. Nickel, The GAP package Cryst, http://www.math.uni-bielefeld.de/simgaehler/.",Package,Yes,99,3,99
3147207,"Berman, L. W. and Mixer, M. and Monson, B. and Oliveros, D. and Williams, G.",Discrete Math.,2014,article,"V. Felsch, F. Gähler, The GAP package CrystCat, http://www.math.uni-bielefeld.de/simgaehler/.",Package,Yes,93,3,93
3147207,"Berman, L. W. and Mixer, M. and Monson, B. and Oliveros, D. and Williams, G.",Discrete Math.,2014,article,"F. Gähler, The GAP package Carat, http://www.math.uni-bielefeld.de/simgaehler/.",Package,Yes,79,2,79
