MR,Citation
MR1961009,"Schönert, M., et al.: GAP—Groups, Algorithms, and Programming, fifth edition. Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, 1995."
MR2153258,"The GAP Group, GAP—Groups, Algorithms, and ... ... ... ..., St Andrews, http://www-gap.dcs.st-and.ac.uk/$\sim$gap, 2000."
MR2077414,"The GAP Group: GAP–Groups, Algorithms, and Programming. Version 4.3. http://www.gap-system.org (2002)"
MR2433003,"The GAP Group: GAP - Groups, Algorithms, and Programming, Version 4.4; http://www.gap-system.org (2005)."
MR2475016,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3. http://www.gap-system.org, 2002."
MR2728036,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4, http://www. gap-system.org (2005)"
MR2791293,"The GAP Group, Gap–Groups, Algorithms, and Programming, version 4.4, 2005, http://www.gap-system.org."
MR2807030,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4. http://www.gap-system.org+ (2005)"
MR2286467,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR4044456,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.10; 2018. (http://www.gap-system.org)."
MR2888572,"GAP–Groups, Algorithms, Programming, Version 4.4, AutPGroup and Small Groups Packages, http://www.gap-system.org."
MR2926486,"GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4.12, 2008, http://www.gap-system.org"
MR4032804,"The GAP group, GAP – Groups, Algorithms, and Programming, version 4.7.9, 2015. https://www.gap-system.org"
MR3709162,"G. Ellis, HAP-homological algebra programming, A refereed GAP4 package (GAP Group 2005), available at http://hamilton.nuigalway.ie/Hap/www, 2008."
MR3709162,"The GAP Group, GAP-Groups Algorithms and Programming, version 4.4, available at http://www.gap-system.org, 2005."
MR3834965,"Ellis G, HAP-homological algebra programming, a refereed GAP 4 package (GAP Group 2005), available at http://hamilton.nuigalway.ie/Hap/www (2008)"
MR3834965,"The GAP Group, GAP-Groups Algorithms and Programming, version 4.4, available at http://www.gap-system.org (2005)"
MR3975686,"The GAP Group, Groups algorithms and programming. Version 4.8.10, (2018), http://www.gap-system.org."
MR4208094,"The GAP Group, GAP—Groups, Algorithms, and Programming. http://www.gap-system.org, Version 4.10.2 (2019)"
MR3279952,"A. Distler: RadiRoot: roots of a polynomial as radicals – a GAP package, version 2.6, www.icm.tu-bs.de/agalgebra/software/radiroot, 2011."
MR1924512,"M. Schönert et al. GAP–Groups, Algorithms and Programming. Lehrstuhl D für Math., Rheinisch–Westfälische Hochschule, Aachen, 5th ed. (1995)."
MR3418031,"S. Gutsche, `GAP package ToricVarieties', available at http://www.gap-system.org/Packages/toricvarieties.html."
MR3418031,"D. Joyner, `GAP package toric', available at http://www.gap-system.org/Packages/toric.html."
MR2248258,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4. http://www.gap-system.org/."
MR2043998,"The GAP Group. GAP–Groups, Algorithms, and Programming, Version 4.3. Available from World Wide Web (http://www.gap-system.org), 2003."
MR2043998,"G. Havas, C. Ramsay, G. Gamble, and A. Hulpke. ""ACE: A GAP 4 Package Providing an Interface to the Advanced Coset Enumerator."" Available from World Wide Web (http://www.gap-system.org/Share/ace.html), 2003."
MR2101831,"Gamble, G., Havas, G., Hulpke, A. (2002). PGRelFind: a GAP example using the ACE share package. {http://www.gap-system.org/-gap/Intro/pgrelfind.html} (accessed September 2002)."
MR2228634,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2004, http://www.gap-system.org/."
MR2160572,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4 (2004), http://www.gap-system.org."
MR2476442,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.4, 2004. See also http://www.gap-system.org/."
MR2531223,"The GAP Group, GAP - groups, algorithms, and programming, Version 4.4.12, http://www.gap-system.org/, 2008."
MR2659213,"The GAP Group, Aachen, GAP–groups, algorithms, and programming, version 4.4, 2008, see also http://www.gap-system.org."
MR3397435,"The GAP Group: GAP – Groups, Algorithms, and Programming, version 4.4.12 (2008). http://www.gap-system.org"
MR2526731,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.2006. http://www.gap-system.org."
MR2865129,"The GAP Group, GAP- groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2006."
MR3104941,"The GAP group, `GAP—Groups, algorithms, and programming, version 4.5.6', 2012, http://www.gap-system.org."
MR3338198,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.5, http://www.gap-system.org, 2012."
MR3344062,"The GAP Group. GAP–Groups, algorithms, and programming, version 4.5. Http://www.gap-system.org, 2012"
MR3422375,"The GAP Group (2012). GAP— Groups, algorithms, and programming, Version 4.5. http://www.gap-system.org."
MR2093563,"Nickel, W., 1988. Endliche Körper in dem gruppentheoretischen Programmsystem GAP. Diploma Thesis, RWTH Aachen."
MR2093563,"The GAP Group, 1997. GAP–groups, algorithms, and programming, Version 4. Lehrstuhl D für Mathematik, RWTH Aachen, Germany and School of Mathematical and Computational Sciences, U. St. Andrews, Scotland."
MR2891215,"A. M. Cohen, J.W. Knopper, GBNP, A GAP Package for Gröbner Bases of Noncommutative Polynomials, available at http://dam02.win.tue.nl/products/gbnp/."
MR2891215,"The GAP Group, 2006, GAP—Groups, Algorithms, and Programming, Version 4.4.12, available at http://www.gap-system.org."
MR2921157,"E. Aichinger, F. Binder, J. Ecker, P. Mayr and C. Nöbauer, SONATA – system of near-rings and their applications, 2008, GAP package, Version 2.4, www.algebra.uni-linz.ac.at/Sonata/."
MR2921157,"The GAP Group, GAP – Groups, Algorithms, and Programming, 2008, Version 4.4.12, www.gap-system.org."
MR3724554,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.8. Available at: http://www.gap-system.org/Releases/4.8.8.html (accessed 6 November 2017)."
MR2376904,"The GAP Group, ""GAP - Groups, Algorithms, and Programming"", Version 4.4, http://www.gap-system.org (2004)."
MR2099831,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, http://www.gap-system.org, 2002."
MR2394896,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3. http://www.gap-system.org, 2002."
MR2320459,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, packages AutPGrp and SmallGroups, http://www.gap-system.org, 2005."
MR1721815,"M. SCHO NERT et al., GAP – groups, algorithms, and programming (RWTH Aachen, 1994)."
MR2453229,"Schönert, M., et al.: GAP3—Groups, Algorithms, and Programming. Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule. Aachen, Germany (1997)"
MR3144930,"Dumas, J. G., Heckenbach, F., Saunders, B. D., and Welker, V. 2002. GAP homology package. http://www.linalg.org/gap.html."
MR2747235,"L.H. Soicher, The GRAPE package for GAP, Version 4.3,2006. http://www.maths.qmul.ac.uk/$\sim$leonard/grape/."
MR2747235,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.7. 2006. http://www.gap-system.org."
MR3361509,"The GAP Group, GAP – Groups, Algorithms and Programming, Version 4.6.2, Aachen, St. Andrews, 1999, (http://www.gap-system.org)"
MR2440717,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.4 (2004) (http://www.gap-system.org)."
MR3963995,"R. Baart, T. Boothby, J. Cramwinckel, J. Fields, D. Joyner, R. Miller, E. Minkes, E. Roijackers, L. Ruscio, and C. Tjhai. 2012. GUAVA, a GAP package for computing with error-correcting codes, Version 3.12. Retrieved from http://www.southernct.edu/~fields/Guava/."
MR3963995,"The GAP Group. 2015. GAP—Groups, Algorithms, and Programming, Version 4.7.8. Retrieved from http://www.gap-system.org."
MR3477335,"The GAP group: Gap—groups, algorithms, and programming, Version 4.7.5 (2014). http://www.gap-system.org"
MR3293492,"GAP—Groups, Algorithms, Programming—A System for Computational Discrete Algebra. http://www.gap-system.org"
MR2515769,"J.-G. Dumas, F. Heckenbach, B. D. Saunders, and V. Welker: Simplicial Homology, a (proposed) GAP share package, http://www.cis.udel.edu/$\sim$dumas/Homology/."
MR2279240,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.3, 2002, (http://www.gap-system.org)."
MR1980619,"Martin Schönert et al., GAP—Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, fifth ed., 1995"
MR2342441,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3, package SmallGroups, 2002, (http://www.gap-system.org)."
MR2063009,"GAP: GAP–Groups, Algorithms, and Programming, Version 4.2, The GAP Group, Aachen, St Andrews, 2000 (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR2340036,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4, 2005, (http://www.gap-system.org)."
MR2423231,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4 (2006) (http://www.gap-system.org)"
MR3947314,"Delgado, M., García-Sánchez, P.A., Morais, J.: Numerical Sgps—a GAP package 95 (2006). http://www.gap-sytem.org/Packages/numericalsgps"
MR4013970,"M. Delgado, P. A. García-Sánchez and J. Morais, numericalsgps, a GAP package on numerical semigroups, http://www.gap-system.org/Packages/numericalsgps.html."
MR4013970,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.7.5, 2014, http://www.gap-system.org."
MR1772517,"M. Schönert et al. GAP—Groups, Algorithms and Programming. Lehrstuhl D für Mathematik, RWTH Aachen, 3.4 edition, 1994."
MR2810611,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10; 2007, (http://www.gap-system.org)."
MR2794664,"GAP Group, GAP—groups, algorithms, and programming, Version 4.4 (available at www.gap-system.org; 2005)."
MR2993059,"The GAP Group: GAP—Groups, Algorithms and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR3123771,"The GAP Group, GAP–groups, algorithms, and programming, version 4.4.12, http://www.gap-system.org, 2008."
MR3293217,"The GAP Group, GAP–Groups, Algorithms, and Programming, version 4.6.4, http://www.gap.system.org, 2013."
MR3366593,"The GAP-Group. (2012). GAP – Groups, Algorithms and Programming. Version 4.5.7, http://www.gap-system.org."
MR3924767,"The GAP Group. (2017). GAP – Groups, Algorithms, and Programming, Version 4.8.9; (https://www.gap-system.org)."
MR2422311,"The GAP Group, GAP—Groups, Algorithms and Programming, Version 4.4.9, Aachen, St. Andrews, http://www.gap-system.org, 2006."
MR3818299,"The GAP Group, GAP – groups, algorithms, and programming, version 4.7.9, http://www.gap-system.org, 2015."
MR1673415,"M. Schönert et al., GAP, version 3.4, 4th edn (D für Mathematik, RWTH Aachen, 1995)."
MR3182982,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.6.5, http://www.gapsystem.org, 2013."
MR2098793,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, http://www.gap-system.org, 2002."
MR2486631,"The GAP Group, `GAP - Groups, Algorithms, and Programming', Version 4.4.10 (2007), http://www.gap-system.org. 1"
MR2354863,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4, http://www.gap-system.org, 2006."
MR2638983,"The GAP Group, `GAP - Groups, algorithms, and programming', version 4.4.12 (2008), http://www.gap-system.org."
MR2358615,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR2745545,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR2774694,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR2889475,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12. (2008). http://www.gap-system.org. Last updated September 25, 2008."
MR3044421,"The GAP Group. (2008). GAP—Groups, Algorithms, and Programming, Version 4.4.12. Available at http://www.gap-system.org."
MR3201058,"The GAP Group, GAP–Groups, Algorithms, and Programming, version 4.5.4, http://www.gap-system.org, 2012."
MR3394090,"The GAP Group, GAP – Groups, Algorithms, and Programming, University of St Andrews, St Andrews, United Kingdom, 2013. http://www.gap-system.org."
MR2228211,"T. Breuer, GAP package ctbllib, Version 1.1.3, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/."
MR2228211,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2004, http://www.gap-system.org."
MR1813499,"GAP Group, ""GAP—Groups, Algorithms, and Programming,"" Version 4, Aachen, St. Andrews, 1998. (Available at http://www-gap.dcs.st-and.ac.uk/gap)"
MR1775797,"The GAP Group, ""GAP—Groups, Algorithms, and Programming, Version 4,"" Aachen, St. Andrews, 1999 (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR1835851,"The GAP Group, GAP—groups, algorithms, and programming (The GAP Group, Aachen/St Andrews, 1999); http://www-gap.dcs.st-and.ac.uk/ gap. 23, 23"
MR2378362,"The GAP Group (2004). GAP-Groups, Algorithms, and Programming, Version 4.4. Available at: http://www.gap-system.org."
MR2890502,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10, 2007. http://www.gap-system.org."
MR2988816,"T. Breuer, `CTblLib–a GAP package, version 1.1.3', 2004, http://www.gap-system.org/Packages/ctbllib.html,."
MR2988816,"The GAP group, `GAP—groups, algorithms, and programming, version 4.4.12', 2008, http://www.gap-system.org."
MR2988816,"J. Müller, M. Neunhöffer and F. Noeske, `orb—a GAP package, Version 3.7', 2011, http://www.gap-system.org/Packages/orb.html."
MR2988816,"R. A. Wilson, R. A. Parker, S. Nickerson, J. Bray and T. Breuer, `AtlasRep—a GAP interface to the ATLAS of finite group representations, Version 1.4.0', 2008, http://www.gap-system.org/Packages/atlasrep.html."
MR3307751,"The GAP Group. GAP — Groups, Algorithms, and Programming, Version 4.5.6, 2012. http://www.gap-system.org."
MR2660428,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.10, 2007 (http://www.gap-system.org)."
MR3885163,"The GAP Group. GAP – Groups, Algorithms, and Programming, Version 4.8.5; 2016, http://www-gap.dcs.st-and.ac.uk/~gap."
MR4102120,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.9.1, http://www.gap-system.org, 2018."
MR2921716,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4, 2006. Available from: $\langle$http://www.gap-system.org$\rangle$."
MR3358302,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.6.5, 2013 (http://www.gap-system.org)."
MR1813487,"The GAP Group, ""GAP—Groups, Algorithms, and Programming, Version 4.1,"" St. Andrews, Aachen, 1999, (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR1858007,"The GAP Group (2000). GAP—Groups, Algorithms, and Programming, Version 4.2. St Andrews, Aachen. Available online at http://$\sim$www-gap.dcs.st-and.ac.uk/$\sim$gap/."
MR1858007,"Höfling, B. (2000). CRISP—a GAP 4 share package for computing with radicals, injectors, Schunck classes and projectors of finite solvable groups. Available online at http://$\sim$www-gap.dcs.st-and.ac.uk/$\sim$gap/$\sim$Share/crisp.html."
MR3331732,"M. Schonert et al., GAP–Groups, algorithms, and programming, version 3, release 4, 1997, http://www.gap-system.org/."
MR3512631,"J. Michel. The development version of the CHEVIE package of GAP3. J. Algebra, 435 (2015), 308–336. 
MR3343221"
MR3512631,"M. Schönert et al., GAP – Groups, Algorithms, and Programming – version 3 release 4, 1997."
MR2321739,"M. Schönert et al., GAP—Groups, Algorithms, and Programming–version 3 release 4 patch-level 4"". Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, 1997. http://www.gap-system.org."
MR1971465,"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.2, Aachen, St Andrews, 2000, http://www.gap.dcs.st-and.ac.uk/$\sim$gap."
MR2002679,"The GAP Group. GAP–Groups, Algorithms, and Programming, Version 4.3. Available from World Wide Web (http://www.gap-system.org), 2002."
MR2118268,"M. Schönert et al. GAP–Groups, Algorithms and Programming. Aachen: Germany, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, 1994."
MR2244142,"M. Schönert, et al., GAP—Groups, Algorithms and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, 1994."
MR2646029,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4, 2005, http://www.gap-system.org."
MR1680528,"M. Schönert et al., ""GAP—Groups, Algorithms, and Programming,"" 1st ed., Lehrstuhl D für Mathematik, RWTH Aachen, Germany, 1992."
MR2798320,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10; 2007, (http://www.gap-system.org)."
MR2655292,"The $\ssf{GAP}$ Group, $\ssf{GAP}$ - Groups, Algorithms, and Programming, Version 4.4.12 (2008), available at http://www.gap-system.org."
MR4180136,"The GAP Group, 2019. GAP – Groups, Algorithms, and Programming, Version 4.10.1; https://www.gap-system.org."
MR2468378,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10, 2007. (http://www.gap-system.org)"
MR2039809,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002. Available from: $<$http://www.gap-system.org$>$."
MR3096858,"G. P. Nagy and P. Vojtěchovský, LOOPS: Computing with quasigroups and loops, version 2.0.0, package for GAP, http://www.math.du.edu/loops."
MR2375471,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org (2005), Accessed 31 October 2007."
MR2375471,"Gamble G., Havas G., Hulpke A., Ramsay C.: ACE: a GAP 4 interface to the Advanced Coset Enumerator of G. Havas and C. Ramsay. http://www.math.rwth-aachen.de/$\sim$Greg.Gamble/ACE/, (2000), Accessed 31 October 2007."
MR3510826,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.6.3; 2013, (http://www.gap-system.org)."
MR3510826,"W. Gamble, A. Hukpke, G. Havas and C. Ramsay, ACE – Advanced coset enumerator, A refereed GAP 4 package, see [7]."
MR3510826,"D. Holt, kbmag – Knuth–Bendix on Monoids and Automatic Groups, A refereed GAP 4 package, see [7]."
MR3510826,"W. Nickel, NQ – Computing nilpotent factor groups of finitely presented groups, A refereed GAP 4 package, see [7]."
MR2981128,"The GAP Group (2008). GAP—Groups, Algorithms, and Programming, Version 4.4.12. http://www.gap-system.org."
MR3341822,"E. Aichinger, F. Binder, J. Ecker, P. Mayr, C. Nöbauer, SONATA – system of near-rings and their applications, GAP package, version 2.6, http://www.algebra.uni-linz.ac.at/Sonata/, 2012."
MR3341822,"The GAP Group, GAP – groups, algorithms, and programming, version 4.7.7, http://www.gapsystem.org, 2015."
MR2679456,"The GAP Group, GAP—Groups, algorithms, and programming, Version 4.4.10 (2007): http://www.gap-system.org."
MR2824511,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10, http://www.gap-system.org, 2007."
MR2987109,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10; 2007 (http://www.gap-system.org)."
MR3152260,"The GAP Groups, GAP-Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)"
MR3166080,"G.A.P. The, Groups, GAP-Groups, Algorithms, and Programming, Version 4.4.10; http://www.gap-system.org, 2007."
MR3418064,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR3682479,"The GAP Group, ""GAP — Groups, Algorithms, and Programming, Version 4.4.12"", 2008, http://www.gap-system.org."
MR3685951,"J. Opgenorth, W. Plesken, T. Schulz, CARAT, GAP 4 package, version 2.1b1, 2008, available at http://wwwb.math.rwth-aachen.de/carat/."
MR3685951,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)."
MR3685951,"G. Ellis, HAP, GAP 4 package, version 1.10.6, 2012, available at http://hamilton.nuigalway.ie/Hap/www/."
MR4025669,"The GAP Group, GAP -groups, algorithms, and programming, version 4.8.7, http://www.gap-system.org, 2017."
MR4025669,"G. Ellis, The GAP package HAP, version 1.11.15, available from http://www.gap-system.org/Packages/hap.html."
MR2247657,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.4 (2004). (http://www.gap-system.org)"
MR2975410,"The GAP Group, GAP–Groups, Algorithms, and Programming, version 4.4.9, 2006, http://www.gap-system.org."
MR1823074,"Schönert et al., M. (1994). GAP—Groups, Algorithms and Programming. Lehrstuhl D für Mathematik, RWTH Aachen."
MR2566544,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR3339804,"The GAP Group, GAP – groups, algorithms, and programming, Version 4.7.4 (2014), http://www.gap-system.org."
MR3724268,"The GAP Group, GAP – Groups, Algorithms, and Programming, version 4.8.4, 2016 (http://www.gap-system.org)."
MR3177516,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)"
MR2354047,"I. M. Araújo, et. al., GAP Reference Manual, The GAP Group, http://www.gap-system.org."
MR2429460,"I. M. Araújo, et. al., GAP Reference Manual, The GAP Group, http://www.gap-system.org."
MR2429460,"J. Cramwinckel, et. al., GUAVA A GAP 4 Package for Computing with Error-Correcting Codes, http://www.gap-system.org/Packages/guava.html."
MR2327052,"I. M. Araújo, et. al., ""GAP Reference Manual,"" The GAP Group, available at http://www.gap-system.org"
MR2327052,"J. Cramwinckel, et. al., ""GUAVA A GAP 4 Package for Computing with Error-Correcting Codes,"" available at http://cadigweb.ew.usna.edu/$\sim$wdj/gap/GUAVA/"
MR2332495,"I.M. Araújo, et al., GAP Reference Manual, The GAP Group, http://www.gap-system.org."
MR2332495,"J. Cramwinckel, et al., GUAVA A GAP 4 Package for Computing with Error-Correcting Codes, http://cadigweb.ew.usna.edu/$\sim$wdj/gap/GUAVA/."
MR2516425,"I.M. Araújo, and 50 co-authors, GAP Reference Manual, The GAP Group, http://www.gap-system.org."
MR2516425,"J. Cramwinckel, E. Roijackers, R. Baart, E. Minkes, L. Ruscio, C. Tjhai, D. Joyner, GUAVA A GAP4 package for computing with error-correcting codes, http://cadigweb.ew.usna.edu/$\sim$wdj/gap/GUAVA/."
MR3034304,"I. M. Araújo, et al., GAP reference manual, The GAP Group, http://www.gap-system.org"
MR3092314,"I. M. Araújo, et al., GAP Reference Manual, The GAP Group, http://www.gap-system.org"
MR1659847,"The GAP Group, School of Mathematical and Computational Sciences, University of St Andrews, and Lehrstuhl D fur Mathematik, RWTH Aachen, GAP - Groups, Algorithms, and Programming, Version 4, 1998."
MR1917425,"T. Breuer and S. Linton, ""The GAP 4 type system: Organising algebraic algorithms"", pp. 38–45 in Proceedings of the 1998 International Symposium on Symbolic and Algebraic Computation (ISSAC '98) (Rostock, Germany, 1998), edited by O. Gloor, ACM Press, New York, 1998."
MR1917425,"F. Celler and M. Neunhöffer, ""XGAP: GAP4 share package"", software, 1999. See http://www-gap.dcs.st-and.ac.uk/gap/Share/xgap.html."
MR1917425,"The GAP group, GAP: Groups, algorithms, and programming, Version 4.2, RWTH Aachen and University of St. Andrews, 2000. See http://www-gap.dcs.st-and.ac.uk/$\sim$gap."
MR1917425,"D. F. Holt, C. R. Leedham-Green, E. A. O'Brien,, and S. Rees, ""Smash: matrix groups and $G$-modules"", GAP software package, 1995."
MR2168238,"Eick, B., 1993. PAG-Systeme im Computeralgebrasystem GAP. Diplomarbeit, Lehrstuhl D für Mathematik, Rheinisch-Westfälische Technische Hochschule, Aachen."
MR2168238,"The GAP Group, 2002. GAP—Groups, Algorithms, and Programming, version 4.3, http://www.gap-system.org."
MR2772119,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12; 2008. (http://www.gap-system.org)"
MR2996881,"GAP, 2012. GAP–Groups, Algorithms, and Programming, version 4.5.3. The GAP Group. http://www.gap-system.org."
MR3056697,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.6.3, http://www.gap-system.org, 2013."
MR3056697,"Max Neunhöffer, Ákos Seress, et al., A GAP package recog, http://www.gap-system.org/Packages/recog.html."
MR3399387,"GAP Group, GAP – groups, algorithms, and programming, version 4.6.3, http://www.gap-system.org, 2013."
MR3399387,"G.P. Nagy, P. Vojtěchovský, Loops: computing with quasigroups and loops in GAP, version 2.2.0, available at http://www.math.du.edu/loops."
MR3763898,"The GAP Group, http://www.gap-system.org. GAP – Groups, Algorithms, and Programming, Version 4.8.6, 2016."
MR2478417,"The $\ssf{GAP}$ Group, http://www.gap-system.org, $\ssf{GAP}$ – Groups, Algorithms, and Programming, Version 4.4, 2004."
MR2478417,"Izumi Miyamoto, An improvement of $\ssf{GAP}$ normalizer function for permutation groups, Proceedings of the 31st International Symposium on Symbolic and Algebraic Computation held in Genova, July 9–12, 2006 (Jean-Guillaume Dumas, ed.), ACM Press, New York, 2006. 
MR2289125"
MR2139260,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002 (http://www.gap-system.org)."
MR4068978,"The GAP Group, GAP – groups, algorithms, and programming, version 4.6.3, http://www.gap-system.org, 2013."
MR4081499,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.1, https://www.gap-system.org, 2019."
MR1952439,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St Andrews, 2000, (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR3248801,"`GAP–Groups, Algorithms and Programming', www.gap-system.org."
MR2654520,"""The GAP group,"" in: GAP-Groups. Algorithms and Programming. Version 4.4; 2006 (www.gap-system.org)."
MR3659332,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, http://www.gap-system.org, 2016."
MR3275646,"The GAP Group, GAP—groups, algorithms, and programming, Version 4.5.5, 2012, available at: http://www.gap-system.org."
MR1972024,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews. 1999. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR2108123,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews, 1999. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)"
MR2064755,"GAP Group, GAP – Groups, algorithms, and programming. Version 4.2 (Aachen, St Andrews, 1999) (http://www.gap-system.org/)."
MR2684148,"The GAP Group, GAP—Groups Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR2968225,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). http://www.gap-system.org"
MR3005109,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.4.12, 2008. www.gap-system.org"
MR1795309,"M. Schönert et al., GAP: Groups, algorithms, and programming, 5th ed., Lehrstuhl D für Mathematik, RWTH Aachen, 1996. See http://www.math.rwth-aachen.de/$\sim$GAP/WWW/."
MR4074341,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.8.4 (2016). http://www.gap-system.org"
MR3276222,"The GAP Group, GAP—Groups, Algorithms, and Programming, http://www.gap-system.org."
MR2080447,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.2 (Aachen, St Andrews, 1999). http://www-gap.dcs.st-and.ac.uk/$\sim$gap"
MR2604851,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.2; Aachen, St Andrews (1999). http://www-gap.dcs.st-and.ac.uk/$\sim$gap"
MR2364832,"The GAP Group. GAP Groups, Algorithms, and Programming, Version 4.2 (Aachen, St Andrews, 1999). http://www-gap.dcs.st-and.ac.uk/$\sim$gap."
MR3062839,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.4.12, 2008 (http://www.gap-system.org/)."
MR3189103,"Delgado, M., García-Sánchez, P.A., Morais, J.: NumericalSgps-a GAP package 0.95. (2006). See http://www.gap-system.org/Packages/numericalsgps"
MR3479454,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.7.6 (2014), http://www.gap-system.org/."
